
1;admin;admin;Введённое имя участника уже используется. Пожалуйста, выберите другое имя.
admin;;;Введённое имя участника уже используется. Пожалуйста, выберите другое имя.
admin;1;;Введённое имя участника уже используется. Пожалуйста, выберите другое имя.
admin;;1;Введённое имя участника уже используется. Пожалуйста, выберите другое имя.
;1;1;Вы не указали допустимого имени участника.
sdflkdsf;admin;admin;Контрольная комбинация неверна или не введена.
sdflkdsf;;;Пароль должен состоять не менее чем из 1 символа.
fsdvcxk;admin;;Введённые вами пароли не совпадают.
fsdvcxk;;admin;Введённые вами пароли не совпадают.
;;;Вы не указали допустимого имени участника.
dsfsdfsdf;login;admin;Введённые вами пароли не совпадают.
